date,Open,High,Low,Close,Volume,Adj Close,Stock
2008-02-15,"2,320.58","2,329.17","2,305.81","2,321.80","1,999,540,000.00","2,321.80",ggg
2008-02-19,"2,348.98","2,352.79","2,300.10","2,306.20","1,988,690,000.00","2,306.20",ggg
2008-02-20,"2,292.82","2,331.70","2,291.24","2,327.10","2,258,180,000.00","2,327.10",ggg
2008-02-21,"2,344.08","2,353.79","2,294.77","2,299.78","2,277,540,000.00","2,299.78",ggg
2008-02-22,"2,306.61","2,308.76","2,265.36","2,303.35","2,324,450,000.00","2,303.35",ggg
2008-02-25,"2,303.41","2,333.71","2,294.38","2,327.48","2,152,880,000.00","2,327.48",ggg
2008-02-26,"2,314.42","2,361.10","2,311.32","2,344.99","2,263,650,000.00","2,344.99",ggg
2008-02-27,"2,329.16","2,363.52","2,326.34","2,353.78","2,216,540,000.00","2,353.78",ggg
2008-02-28,"2,342.56","2,352.88","2,324.47","2,331.57","2,032,040,000.00","2,331.57",ggg
2008-02-29,"2,309.06","2,311.23","2,264.97","2,271.48","2,405,360,000.00","2,271.48",ggg
2008-03-03,"2,271.26","2,275.75","2,240.30","2,258.60","2,145,070,000.00","2,258.60",ggg
2008-03-04,"2,244.21","2,266.37","2,221.09","2,260.28","2,669,980,000.00","2,260.28",ggg
2008-03-05,"2,266.49","2,290.01","2,254.20","2,272.81","2,209,090,000.00","2,272.81",ggg
2008-03-06,"2,265.67","2,272.20","2,219.33","2,220.50","2,165,090,000.00","2,220.50",ggg
2008-03-07,"2,204.48","2,242.50","2,186.93","2,212.49","2,386,980,000.00","2,212.49",ggg
2008-03-10,"2,211.14","2,216.89","2,168.67","2,169.34","2,101,010,000.00","2,169.34",ggg
2008-03-11,"2,209.65","2,255.76","2,192.50","2,255.76","2,526,040,000.00","2,255.76",ggg
2008-03-12,"2,259.97","2,282.61","2,241.38","2,243.87","2,077,140,000.00","2,243.87",ggg
2008-03-13,"2,219.28","2,272.55","2,199.38","2,263.61","2,419,220,000.00","2,263.61",ggg
2008-03-14,"2,271.21","2,277.11","2,191.75","2,212.49","2,547,310,000.00","2,212.49",ggg
2008-03-17,"2,166.94","2,200.53","2,155.42","2,177.01","2,338,210,000.00","2,177.01",ggg
2008-03-18,"2,215.61","2,268.26","2,206.81","2,268.26","2,411,630,000.00","2,268.26",ggg
2008-03-19,"2,272.12","2,280.90","2,209.96","2,209.96","2,265,420,000.00","2,209.96",ggg
2008-03-20,"2,220.50","2,258.11","2,208.12","2,258.11","2,764,480,000.00","2,258.11",ggg
2008-03-24,"2,268.20","2,336.70","2,268.20","2,326.75","2,312,600,000.00","2,326.75",ggg
2008-03-25,"2,329.16","2,346.78","2,312.06","2,341.05","2,099,060,000.00","2,341.05",ggg
2008-03-26,"2,328.62","2,331.18","2,306.49","2,324.36","1,915,210,000.00","2,324.36",ggg
2008-03-27,"2,315.04","2,315.91","2,280.47","2,280.83","2,038,770,000.00","2,280.83",ggg
2008-03-28,"2,291.32","2,304.71","2,256.87","2,261.18","1,785,770,000.00","2,261.18",ggg
2008-03-31,"2,265.15","2,289.70","2,260.59","2,279.10","1,788,360,000.00","2,279.10",ggg
2008-04-01,"2,306.51","2,362.75","2,305.40","2,362.75","2,160,120,000.00","2,362.75",ggg
2008-04-02,"2,363.42","2,381.21","2,347.78","2,361.40","1,996,680,000.00","2,361.40",ggg
2008-04-03,"2,347.91","2,373.99","2,339.38","2,363.30","1,993,480,000.00","2,363.30",ggg
2008-04-04,"2,366.91","2,391.93","2,351.76","2,370.98","1,977,560,000.00","2,370.98",ggg
2008-04-07,"2,386.62","2,390.04","2,359.54","2,364.83","1,730,020,000.00","2,364.83",ggg
2008-04-08,"2,353.58","2,359.40","2,337.84","2,348.76","1,635,290,000.00","2,348.76",ggg
2008-04-09,"2,351.94","2,353.54","2,311.45","2,322.12","1,922,050,000.00","2,322.12",ggg
2008-04-10,"2,326.78","2,363.91","2,324.39","2,351.70","2,159,000,000.00","2,351.70",ggg
2008-04-11,"2,327.70","2,328.45","2,286.19","2,290.24","1,902,540,000.00","2,290.24",ggg
2008-04-14,"2,287.02","2,296.73","2,274.91","2,275.82","1,626,710,000.00","2,275.82",ggg
2008-04-15,"2,287.43","2,291.12","2,266.29","2,286.04","1,884,750,000.00","2,286.04",ggg
2008-04-16,"2,313.42","2,352.21","2,313.42","2,350.11","2,128,770,000.00","2,350.11",ggg
2008-04-17,"2,347.32","2,348.31","2,327.66","2,341.83","1,779,300,000.00","2,341.83",ggg
2008-04-18,"2,394.52","2,412.78","2,383.24","2,402.97","2,190,920,000.00","2,402.97",ggg
2008-04-21,"2,393.07","2,410.97","2,389.82","2,408.04","1,601,280,000.00","2,408.04",ggg
2008-04-22,"2,397.12","2,397.17","2,361.67","2,376.94","1,941,680,000.00","2,376.94",ggg
2008-04-23,"2,391.64","2,412.53","2,382.77","2,405.21","2,181,580,000.00","2,405.21",ggg
2008-04-24,"2,408.25","2,447.28","2,383.76","2,428.92","2,337,160,000.00","2,428.92",ggg
2008-04-25,"2,424.68","2,427.09","2,391.15","2,422.93","1,956,260,000.00","2,422.93",ggg
2008-04-28,"2,422.63","2,437.00","2,416.90","2,424.40","1,724,680,000.00","2,424.40",ggg
2008-04-29,"2,420.00","2,435.38","2,412.10","2,426.10","1,769,030,000.00","2,426.10",ggg
2008-04-30,"2,434.20","2,451.19","2,406.37","2,412.80","2,127,390,000.00","2,412.80",ggg
2008-05-01,"2,416.49","2,480.71","2,416.49","2,480.71","2,344,770,000.00","2,480.71",ggg
2008-05-02,"2,499.14","2,499.14","2,461.46","2,476.99","2,279,510,000.00","2,476.99",ggg
2008-05-05,"2,475.31","2,486.05","2,458.12","2,464.12","2,085,110,000.00","2,464.12",ggg
2008-05-06,"2,455.11","2,488.83","2,445.37","2,483.31","2,097,260,000.00","2,483.31",ggg
2008-05-07,"2,483.03","2,496.65","2,435.76","2,438.49","2,238,810,000.00","2,438.49",ggg
2008-05-08,"2,450.01","2,462.51","2,436.61","2,451.24","2,031,770,000.00","2,451.24",ggg
2008-05-09,"2,432.55","2,455.33","2,429.03","2,445.52","1,711,510,000.00","2,445.52",ggg
2008-05-12,"2,454.65","2,490.22","2,446.36","2,488.49","1,769,330,000.00","2,488.49",ggg
2008-05-13,"2,491.02","2,498.07","2,472.58","2,495.12","1,895,250,000.00","2,495.12",ggg
2008-05-14,"2,503.28","2,528.40","2,493.58","2,496.70","2,129,270,000.00","2,496.70",ggg
2008-05-15,"2,496.44","2,535.19","2,492.95","2,533.73","2,176,320,000.00","2,533.73",ggg
2008-05-16,"2,537.41","2,537.41","2,504.18","2,528.85","2,286,090,000.00","2,528.85",ggg
2008-05-19,"2,530.82","2,551.47","2,505.60","2,516.09","2,269,590,000.00","2,516.09",ggg
2008-05-20,"2,505.86","2,506.19","2,479.37","2,492.26","1,991,010,000.00","2,492.26",ggg
2008-05-21,"2,497.39","2,508.90","2,444.99","2,448.27","2,166,450,000.00","2,448.27",ggg
2008-05-22,"2,454.74","2,474.53","2,448.84","2,464.58","1,932,080,000.00","2,464.58",ggg
2008-05-23,"2,454.14","2,456.00","2,430.36","2,444.67","1,734,070,000.00","2,444.67",ggg
2008-05-27,"2,450.52","2,482.08","2,448.58","2,481.24","1,742,710,000.00","2,481.24",ggg
2008-05-28,"2,491.50","2,493.38","2,465.59","2,486.70","1,792,750,000.00","2,486.70",ggg
